,RespSex,Q6_1,age_dv,marstat2,religion_dv,workstat2,wimd_2014_quintile
155030,1,2.0,1,2,3.0,1.0,5
155031,2,1.0,1,2,1.0,1.0,5
155032,2,2.0,4,1,1.0,1.0,5
155033,2,4.0,5,1,1.0,3.0,3
155034,2,2.0,5,2,1.0,1.0,5
155035,1,1.0,2,2,3.0,1.0,5
155036,2,1.0,3,1,1.0,1.0,5
155037,1,2.0,4,1,,1.0,5
155038,1,1.0,3,1,1.0,1.0,4
155039,1,4.0,7,1,1.0,2.0,3
155041,2,2.0,7,2,1.0,2.0,4
155043,2,3.0,5,1,1.0,1.0,3
155046,1,1.0,1,2,1.0,1.0,5
155047,1,1.0,4,1,3.0,1.0,5
155048,2,1.0,2,1,1.0,1.0,5
155049,2,1.0,5,2,1.0,1.0,5
155050,1,2.0,3,1,,1.0,4
155051,1,1.0,1,2,1.0,3.0,3
155052,2,2.0,5,2,1.0,2.0,4
155053,2,3.0,6,1,1.0,2.0,3
155054,1,2.0,5,1,3.0,1.0,5
155055,1,1.0,5,1,1.0,1.0,4
155058,2,2.0,2,2,1.0,3.0,5
155060,2,2.0,7,2,1.0,2.0,5
155061,1,1.0,3,1,1.0,1.0,4
155062,1,1.0,3,2,1.0,1.0,4
155063,2,1.0,1,2,3.0,3.0,5
155064,1,1.0,1,2,3.0,3.0,5
155066,1,1.0,1,2,3.0,1.0,4
155067,2,1.0,1,2,,3.0,5
155068,1,1.0,4,1,1.0,1.0,4
155070,2,,1,2,,,3
155072,1,3.0,2,2,3.0,1.0,3
155073,1,3.0,7,1,,2.0,4
155074,2,1.0,5,1,,2.0,5
155075,1,2.0,3,1,3.0,1.0,5
155076,2,1.0,2,2,1.0,1.0,5
155077,1,1.0,4,2,3.0,1.0,5
155078,1,1.0,2,2,1.0,1.0,5
155079,1,1.0,3,2,3.0,3.0,4
155080,2,1.0,5,1,1.0,1.0,4
155081,2,1.0,7,2,1.0,2.0,4
155082,1,1.0,2,2,1.0,1.0,5
155083,2,1.0,5,1,1.0,2.0,4
155084,2,1.0,3,2,1.0,1.0,5
155085,2,3.0,5,1,1.0,3.0,4
155087,2,2.0,3,1,,1.0,5
155088,1,2.0,3,2,1.0,1.0,5
155089,2,2.0,6,1,1.0,2.0,5
155090,1,3.0,7,1,1.0,1.0,4
155091,2,2.0,7,2,1.0,2.0,3
155092,2,2.0,2,2,,1.0,3
155093,2,2.0,4,1,1.0,1.0,4
