,Q6_1,RespSex,age_dv,marstat2,religion_dv,source,wimd_2014_quintile,workstat2
5639,,2,,1.0,3.0,survey,,
5641,,2,,2.0,1.0,survey,,
5642,,1,,2.0,1.0,survey,,
5647,,1,,2.0,3.0,survey,,
5654,,2,,1.0,1.0,survey,,
5661,,2,,1.0,1.0,survey,,
5665,,1,,2.0,3.0,survey,,
5667,,2,,2.0,1.0,survey,,
5677,,2,,1.0,3.0,survey,,
5684,,1,,1.0,1.0,survey,,
5686,,2,,2.0,3.0,survey,,
5691,,2,,2.0,3.0,survey,,
5693,,2,,2.0,1.0,survey,,
5698,,1,,1.0,1.0,survey,,
5701,,2,,1.0,3.0,survey,,
5706,,1,,1.0,1.0,survey,,
5718,,2,,1.0,3.0,survey,,
5722,,2,,2.0,1.0,survey,,
5724,,2,,1.0,1.0,survey,,
5728,,1,,2.0,1.0,survey,,
5730,,2,,2.0,3.0,survey,,
5753,,1,,2.0,1.0,survey,,
5756,,2,,2.0,1.0,survey,,
5758,,2,,2.0,3.0,survey,,
5763,,2,,2.0,3.0,survey,,
5772,,1,,2.0,3.0,survey,,
5776,,2,,1.0,3.0,survey,,
5778,,1,,1.0,1.0,survey,,
5795,,2,,1.0,1.0,survey,,
5803,,1,,2.0,3.0,survey,,
5807,,2,,2.0,1.0,survey,,
5809,,2,,1.0,1.0,survey,,
5811,,2,,2.0,1.0,survey,,
5834,,1,,2.0,1.0,survey,,
5868,,2,,2.0,1.0,survey,,
5871,,1,,2.0,3.0,survey,,
5878,,2,,2.0,2.0,survey,,
5883,,2,,1.0,3.0,survey,,
5884,,2,,2.0,1.0,survey,,
5885,,2,,1.0,1.0,survey,,
5886,,2,,2.0,1.0,survey,,
5897,,1,,1.0,3.0,survey,,
5905,,1,,1.0,3.0,survey,,
5907,,1,,1.0,1.0,survey,,
5928,,2,,2.0,1.0,survey,,
5936,,2,,2.0,1.0,survey,,
5937,,2,,1.0,3.0,survey,,
5941,,2,,2.0,1.0,survey,,
